Product,Date,Quantity Sold,Price,Revenue,Location,Category
Product_11,2024-01-18,1,362.07,362.07,Chennai,Fashion
Product_29,2024-02-14,9,408.26,3674.34,Hyderabad,Fashion
Product_45,2024-03-23,7,143.69,1005.83,Chennai,Groceries
Product_30,2024-04-11,17,433.04,7361.68,Delhi,Beauty
Product_3,2024-01-28,11,150.73,1658.03,Mumbai,Stationery
Product_12,2024-06-26,15,199.65,2994.75,Mumbai,Beauty
Product_26,2024-02-08,9,253.4,2280.6,Delhi,Fashion
Product_50,2024-01-06,18,64.59,1162.62,Mumbai,Electronics
Product_50,2024-05-24,1,275.99,275.99,Hyderabad,Electronics
Product_28,2024-02-25,1,175.4,175.4,Hyderabad,Groceries
Product_18,2024-06-06,8,339.03,2712.24,Chennai,Electronics
Product_38,2024-06-20,18,368.28,6629.04,Mumbai,Beauty
Product_15,2024-05-01,2,432.0,864.0,Mumbai,Beauty
Product_5,2024-03-02,15,186.93,2803.95,Chennai,Fashion
Product_49,2024-03-29,17,158.48,2694.16,Mumbai,Stationery
Product_6,2024-02-04,4,178.93,715.72,Bangalore,Groceries
Product_42,2024-01-05,13,406.57,5285.41,Hyderabad,Fashion
Product_3,2024-03-06,9,266.58,2399.22,Bangalore,Stationery
Product_10,2024-02-18,12,420.43,5045.16,Mumbai,Fashion
Product_39,2024-04-02,11,272.87,3001.57,Hyderabad,Fashion
Product_34,2024-04-22,1,101.12,101.12,Mumbai,Stationery
Product_24,2024-06-16,12,498.41,5980.92,Chennai,Electronics
Product_9,2024-04-16,7,70.84,495.88,Chennai,Groceries
Product_34,2024-03-18,13,93.57,1216.41,Hyderabad,Groceries
Product_34,2024-01-06,16,266.19,4259.04,Mumbai,Fashion
Product_18,2024-05-17,19,69.45,1319.55,Bangalore,Electronics
Product_47,2024-05-15,2,165.98,331.96,Bangalore,Electronics
Product_14,2024-02-23,10,247.05,2470.5,Hyderabad,Fashion
Product_21,2024-04-23,17,449.38,7639.46,Chennai,Electronics
Product_10,2024-04-17,20,258.59,5171.8,Delhi,Fashion
Product_2,2024-05-19,20,146.54,2930.8,Delhi,Beauty
Product_25,2024-03-01,15,437.51,6562.65,Hyderabad,Stationery
Product_37,2024-01-23,5,149.96,749.8,Hyderabad,Electronics
Product_23,2024-02-18,19,417.27,7928.13,Hyderabad,Stationery
Product_28,2024-03-29,5,464.58,2322.9,Hyderabad,Electronics
Product_15,2024-02-07,2,496.47,992.94,Chennai,Groceries
Product_10,2024-04-21,7,404.2,2829.4,Mumbai,Electronics
Product_14,2024-02-27,12,55.79,669.48,Mumbai,Fashion
Product_50,2024-03-15,11,200.23,2202.53,Mumbai,Groceries
Product_1,2024-01-19,17,367.38,6245.46,Bangalore,Electronics
Product_49,2024-02-02,18,149.33,2687.94,Hyderabad,Groceries
Product_18,2024-04-04,9,439.9,3959.1,Chennai,Fashion
Product_31,2024-04-16,6,400.88,2405.28,Mumbai,Fashion
Product_35,2024-01-08,4,304.71,1218.84,Delhi,Groceries
Product_15,2024-03-09,16,380.62,6089.92,Bangalore,Fashion
Product_29,2024-01-21,17,371.65,6318.05,Chennai,Stationery
Product_13,2024-05-28,13,395.97,5147.61,Hyderabad,Electronics
Product_30,2024-06-17,2,368.82,737.64,Chennai,Stationery
Product_44,2024-04-19,11,321.51,3536.61,Chennai,Fashion
Product_49,2024-04-26,13,292.09,3797.17,Bangalore,Stationery
Product_10,2024-02-05,2,225.01,450.02,Mumbai,Groceries
Product_44,2024-03-13,18,179.97,3239.46,Mumbai,Electronics
Product_38,2024-06-26,5,256.35,1281.75,Bangalore,Groceries
Product_37,2024-03-17,20,258.35,5167.0,Delhi,Electronics
Product_14,2024-04-03,7,492.49,3447.43,Mumbai,Beauty
Product_3,2024-04-02,20,416.67,8333.4,Delhi,Stationery
Product_11,2024-02-25,9,319.87,2878.83,Bangalore,Beauty
Product_17,2024-01-07,16,223.11,3569.76,Chennai,Beauty
Product_26,2024-03-11,9,55.76,501.84,Bangalore,Electronics
Product_12,2024-05-16,8,370.58,2964.64,Delhi,Fashion
Product_12,2024-05-02,4,484.98,1939.92,Mumbai,Stationery
Product_42,2024-06-27,4,227.56,910.24,Chennai,Fashion
Product_24,2024-03-10,13,492.21,6398.73,Bangalore,Electronics
Product_3,2024-04-27,12,202.91,2434.92,Delhi,Fashion
Product_42,2024-02-13,5,333.15,1665.75,Delhi,Electronics
Product_46,2024-03-06,1,71.34,71.34,Bangalore,Groceries
Product_33,2024-04-30,1,101.89,101.89,Chennai,Groceries
Product_12,2024-01-03,9,262.54,2362.86,Bangalore,Beauty
Product_46,2024-01-19,9,491.35,4422.15,Mumbai,Fashion
Product_1,2024-05-20,11,215.11,2366.21,Chennai,Beauty
Product_35,2024-03-21,7,320.91,2246.37,Bangalore,Stationery
Product_23,2024-04-29,8,279.44,2235.52,Chennai,Fashion
Product_39,2024-01-05,16,400.07,6401.12,Mumbai,Electronics
Product_14,2024-04-04,20,136.92,2738.4,Bangalore,Groceries
Product_43,2024-05-30,7,296.26,2073.82,Delhi,Fashion
Product_25,2024-01-07,20,108.18,2163.6,Delhi,Stationery
Product_23,2024-05-04,15,184.79,2771.85,Bangalore,Fashion
Product_3,2024-02-05,10,136.0,1360.0,Bangalore,Fashion
Product_44,2024-04-24,6,476.79,2860.74,Mumbai,Fashion
Product_7,2024-02-27,15,291.13,4366.95,Hyderabad,Beauty
Product_4,2024-02-01,3,217.67,653.01,Mumbai,Groceries
Product_10,2024-02-17,11,99.55,1095.05,Bangalore,Fashion
Product_3,2024-03-31,8,303.18,2425.44,Mumbai,Fashion
Product_15,2024-01-14,2,316.84,633.68,Bangalore,Groceries
Product_13,2024-03-31,20,106.15,2123.0,Delhi,Stationery
Product_17,2024-05-18,14,193.7,2711.8,Bangalore,Electronics
Product_19,2024-05-26,18,257.74,4639.32,Hyderabad,Stationery
